id,title,englishTitle,score
49627,"Shingeki no Kyojin: The Final Season Specials","Attack on Titan: Chibi Theater - Survey Corps, The Final!",6.98
37008,"Tsukipro The Animation 2","null",6.34
49020,"Jashin Shoukan: Inran Kyonyuu Oyako Ikenie Gishiki","The Courtesan's Palace of Wicked Conception: A Busty Mother-Daughter Sacrificial Ritual",6.91
49487,"Azur Lane: Bisoku Zenshin! Hokorashiki Bokou ni Shukusai wo","null",6.82
48698,"Mako-chan Kaihatsu Nikki","null",6.56
41462,"BanG Dream! Film Live 2nd Stage","null",7.83
49095,"Kuroinu II The Animation","null",5.64
49222,"Succubus Appli: Gakuen Sai*","null",6.65
49335,"Torokase Orgasm The Animation","null",6.84
49138,"Princess Principal: Crown Handler Movie 1 - Busy Easy Money","null",6.8
43741,"Getter Robo Arc","null",6.1
48880,"Anette-san to Liliana-san The Animation","null",6.6
49652,"Shiguang Dailiren Special: Xiaoyao Sanren de Weituo","Link Click: Troubles of Ordinary People",5.88
38882,"Ryouma! The Prince of Tennis Shinsei Movie: Tennis no Ouji-sama","Ryoma! The Prince of Tennis",6.15
48962,"Xie Wang Zhui Qi 3: Shen Nu Guilai","null",7.09
49848,"Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya Recap","null",5.94
48627,"Hetalia World★Stars Specials","null",6.74
45961,"Assault Lily: Fruits","null",6.31
49290,"Magia Record: Mahou Shoujo Madoka☆Magica Gaiden Recaps","null",5.97
48678,"Nomad: Megalo Box 2 Short Anime","Megalo Box 2: The Hummingbird and the Nomad",6.48
49507,"Shuumatsu no Walküre Mini Anime","null",5.86
49895,"Go! Saitama","null",6.94
49353,"Usamimi Bouken-tan: Sexual Harassment Shinagara Sekai wo Sukue","null",5.93
49860,"Umisea","null",6.98
49989,"Yamitsuki Pheromone The Animation","null",6.46
49661,"Voy@ger","null",7.5
49329,"Soshite Watashi wa Sensei ni...","null",6.13
44067,"Bai Yao Pu 2nd Season","Fairies Albums 2",7.18
49204,"Yuan Shen Haojie","Code of Gods Havoc",null
